Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,38.724998,40,38.724998,39.700001,29.728262,212976
2002-08-13,39.75,40.387501,38.875,39.162498,29.32576,153576
2002-08-14,39.25,39.25,35.724998,36.462502,27.303944,822776
2002-08-15,36.462502,36.462502,36.462502,36.462502,27.303944,0
2002-08-16,36.275002,38,35.75,36.375,27.238428,811856
2002-08-19,36.674999,36.674999,35.137501,35.474998,26.564478,205880
2002-08-20,35.724998,38.724998,35.487499,36.462502,27.303944,3773624
2002-08-21,38.474998,39.200001,36.525002,38.25,28.642467,3011064
2002-08-22,39.512501,41.575001,39.3125,39.900002,29.878029,6732480
2002-08-23,40.25,43.625,39.762501,42.299999,31.675207,4841672
2002-08-26,42.974998,43.25,41.8125,42.150002,31.562883,2576912
2002-08-27,42.5,44.25,40.75,41.099998,30.776602,3694224
2002-08-28,40.974998,41.599998,40.287498,41.137501,30.804695,1674960
2002-08-29,40.887501,41.875,40.75,41.137501,30.804695,1236544
2002-08-30,41.262501,45.125,41.25,44.049999,32.985641,3762384
2002-09-02,44.75,45.974998,44.049999,44.5,33.322609,2389568
2002-09-03,44.75,44.9375,42,42.412498,31.759439,986784
2002-09-04,41.875,43.75,41.387501,43.337502,32.452087,1449856
2002-09-05,44.662498,44.862499,42.5,43.075001,32.25552,1061360
2002-09-06,43.25,43.25,41.012501,41.474998,31.057434,907472
2002-09-09,39.5,42.6875,39.5,40.9375,30.654926,880848
2002-09-10,40.9375,40.9375,40.9375,40.9375,30.654926,0
2002-09-11,41.162498,42.700001,41.162498,41.974998,31.431843,635936
2002-09-12,42.487499,43.224998,41.900002,42.1875,31.590958,781968
2002-09-13,40.712502,42.224998,40.637501,40.987499,30.69236,338264
2002-09-16,41.375,41.599998,39.875,40.1875,30.093307,288592
2002-09-17,40.912498,41.625,40.775002,41.362499,30.973171,462952
2002-09-18,41.125,41.25,39.75,40.087502,30.018431,315432
2002-09-19,39.75,41.075001,39.25,39.75,29.765703,490848
2002-09-20,38.325001,39.674999,38.162498,39.099998,29.278971,501072
2002-09-23,39.375,39.474998,38.275002,38.4375,28.782871,248504
2002-09-24,38.299999,38.299999,36.724998,37.137501,27.809404,267912
2002-09-25,36.275002,37.75,36,37.424999,28.024685,379544
2002-09-26,38.200001,38.612499,37.75,38.012501,28.464624,178136
2002-09-27,37.887501,39,37.887501,38.474998,28.810947,206288
2002-09-30,37.887501,38.474998,36.275002,37.075001,27.762606,202232
2002-10-01,37.25,37.75,36.125,36.762501,27.528605,240192
2002-10-02,36.762501,36.762501,36.762501,36.762501,27.528605,0
2002-10-03,37.25,39.75,37.25,37.75,28.268059,673264
2002-10-04,38.25,38.362499,37.125,37.512501,28.090227,258296
2002-10-07,37.762501,38,37.025002,37.349998,27.968523,110976
2002-10-08,37.462502,38.724998,37.25,38.362499,28.726704,227352
2002-10-09,38.5,39.112499,37.0625,37.387501,27.996607,277040
2002-10-10,38.5,38.5,36.637501,37.424999,28.024685,173224
2002-10-11,38.474998,38.9375,38.112499,38.212502,28.614399,192536
2002-10-14,38.924999,39,37.575001,37.9375,28.408455,152744
2002-10-15,37.9375,37.9375,37.9375,37.9375,28.408455,0
2002-10-16,42.775002,42.775002,37.775002,38.012501,28.464624,247760
2002-10-17,38.25,38.25,37.525002,38.012501,28.464624,144512
2002-10-18,38.75,39.924999,38.287498,38.8125,29.063677,512312
2002-10-21,39.724998,40.737499,39.25,39.412498,29.512972,646296
2002-10-22,39.75,39.75,37.75,37.987499,28.4459,229384
2002-10-23,38.25,38.700001,37.525002,37.8125,28.314848,153320
2002-10-24,38.224998,38.349998,36.900002,37.150002,27.818758,168744
2002-10-25,36.5,37.087502,36.275002,36.387501,27.247787,172296
2002-10-28,36.125,36.5,35.549999,35.849998,26.845301,134504
2002-10-29,35.75,36.450001,35.549999,36.162498,27.079304,143024
2002-10-30,36.5,37.4375,36.25,36.775002,27.537964,164320
2002-10-31,37,37.5,36.799999,37.349998,27.968523,118928
2002-11-01,37.525002,38.150002,36.762501,36.962502,27.678358,108792
2002-11-04,37.5,37.5,36.950001,37.237499,27.884283,56560
2002-11-05,36.887501,37.325001,36.599998,36.837502,27.584753,70288
2002-11-06,36.837502,36.837502,36.837502,36.837502,27.584753,0
2002-11-07,37.5,39.5,37.5,37.974998,28.436539,204880
2002-11-08,37.25,37.737499,37.025002,37.3125,27.940443,77664
2002-11-11,37.5,37.5,36.674999,36.75,27.519238,66568
2002-11-12,36.5,37.5,36.5,36.9375,27.659641,106864
2002-11-13,37.125,37.224998,36.424999,36.625,27.425636,106264
2002-11-14,37.200001,37.900002,36.637501,37.125,27.800043,211856
2002-11-15,37.950001,38.162498,37.5,37.924999,28.399101,154144
2002-11-18,38.25,38.737499,37.837502,38.3125,28.689268,217672
2002-11-19,38.3125,38.3125,38.3125,38.3125,28.689268,0
2002-11-20,38.25,39.875,38.25,39.575001,29.63467,406128
2002-11-21,40.3125,44.724998,40.3125,43,32.199379,2664024
2002-11-22,41.387501,45.174999,41.387501,42.337502,31.703274,1184016
2002-11-25,42.75,43.200001,41.75,42.262501,31.647127,428920
2002-11-26,42.625,43.450001,41.775002,42.012501,31.459919,367496
2002-11-27,42.75,42.75,40.887501,41.125,30.795324,301128
2002-11-28,41.525002,43.724998,41.512501,42.799999,32.049629,447680
2002-11-29,42.799999,42.799999,42.799999,42.799999,32.049629,0
2002-12-02,44.875,49,44.474998,47.387501,35.48484,1388680
2002-12-03,48.5,52.424999,46.775002,50.099998,37.516026,4082608
2002-12-04,49.224998,51.1875,47.762501,48.424999,36.261734,2594928
2002-12-05,48.125,51.112499,48.125,49.650002,37.179039,1720264
2002-12-06,50.5,51.674999,49.637501,50.950001,38.152515,1139968
2002-12-09,50.75,51.724998,48.025002,48.5,36.317905,975768
2002-12-10,47.625,50.5,47.275002,49.612499,37.150951,837808
2002-12-11,51,53.987499,50.75,51.950001,38.901337,3286400
2002-12-12,52,54,52,52.375,39.219585,2568024
2002-12-13,53,53.674999,52.275002,52.587502,39.378727,1112288
2002-12-16,53.25,53.674999,50.025002,50.325001,37.684521,1231456
2002-12-17,51.275002,51.275002,48.900002,49.400002,36.991844,855656
2002-12-18,49.950001,50.724998,48.599998,48.9375,36.645504,618096
2002-12-19,49.924999,54.375,49.375,53.075001,39.743771,3770256
2002-12-20,53.75,54.950001,52.5,53.512501,40.071377,2952072
2002-12-23,53.75,53.762501,51.25,51.612499,38.648609,1277744
2002-12-24,51.75,54,51.5625,53.737499,40.239864,1729840
2002-12-25,53.737499,53.737499,53.737499,53.737499,40.239864,0
2002-12-26,54.150002,55.950001,53.25,55.262501,41.381813,2894448
2002-12-27,55.650002,55.875,53.787498,54.012501,40.445793,956984
2002-12-30,54,57.724998,52.762501,57.150002,42.795212,4253744
2002-12-31,57.525002,61.087502,56,60.112499,45.013611,9998480
2003-01-01,59.987499,61.974998,59.987499,61.087502,45.743702,6027072
2003-01-02,61.525002,62.924999,57.912498,58.299999,43.656361,5325328
2003-01-03,60,61.049999,58.5,59.012501,44.189915,4198040
2003-01-06,59.924999,60.1875,56.875,57.262501,42.879478,4121520
2003-01-07,58,58.5,56.0625,56.599998,42.383362,2650800
2003-01-08,57.349998,59.150002,56.924999,58.625,43.899738,2648456
2003-01-09,59,60.150002,58.450001,59.200001,44.330307,2630400
2003-01-10,60,60,55.262501,55.575001,41.615826,1702816
2003-01-13,56.224998,56.75,54.25,56.137501,42.037041,2421496
2003-01-14,56.724998,58.625,56.5,56.887501,42.598652,2239360
2003-01-15,57.349998,58.625,57.025002,58.025002,43.450447,2759760
2003-01-16,58.462502,60.200001,57.525002,58.849998,44.068199,2842656
2003-01-17,58.125,59,57.275002,57.525002,43.076027,1284144
2003-01-20,57.25,57.474998,55.275002,55.6875,41.700081,928872
2003-01-21,55.762501,56.5625,54,54.237499,40.614285,1147240
2003-01-22,54.700001,55.75,54.075001,54.474998,40.792114,1081352
2003-01-23,53.75,54.474998,51.775002,52.474998,39.294464,1001872
2003-01-24,52.625,53.474998,49.887501,50.599998,37.890423,1436848
